district,lat,lon,ph,organic_matter_pct,total_nitrogen_pct,p2o5_kgha,potassium_kgha,zinc_ppm,boron_ppm,sand_pct,clay_pct,silt_pct,parent_soil,error
Bhojpur,27.1706,87.046,6.06 ,3.53 %,0.14 %,162.03 kg/ha,381.37 kg/ha,1.56 ppm,0.92 ppm,43.98 %,12.65 %,48.37 %,"slate, phyllite",
Dhankuta,26.9822,87.3343,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ilam,26.9117,87.9255,6.16 ,3.12 %,0.14 %,178.46 kg/ha,391.59 kg/ha,0.9 ppm,1.56 ppm,50.0 %,12.12 %,38.62 %,"slate, phyllite",
Jhapa,26.6382,87.8963,6.05 ,3.58 %,0.19 %,24.98 kg/ha,367.97 kg/ha,0.84 ppm,0.61 ppm,45.34 %,18.51 %,34.48 %,Fluvial non calcareous,
Khotang,27.1996,86.7865,6.0 ,3.87 %,0.19 %,135.72 kg/ha,597.81 kg/ha,1.49 ppm,1.11 ppm,47.46 %,13.08 %,40.29 %,"slate, phyllite",
Morang,26.6521,87.3556,6.84 ,2.01 %,0.09 %,24.64 kg/ha,205.79 kg/ha,0.68 ppm,0.59 ppm,30.19 %,7.89 %,64.22 %,Fluvial non calcareous,
Okhaldhunga,27.3061,86.5029,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Panchthar,27.1264,87.7972,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sankhuwasabha,27.5878,87.2185,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Solukhumbu,27.7052,86.7107,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sunsari,26.6586,87.1691,6.15 ,1.68 %,0.09 %,47.55 kg/ha,221.05 kg/ha,1.31 ppm,1.07 ppm,29.62 %,18.36 %,50.37 %,Fluvial non calcareous,
Taplejung,27.3524,87.6713,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Terhathum,27.1352,87.5401,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Udayapur,26.9383,86.5229,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bara,27.0371,85.0118,7.14 ,1.98 %,0.1 %,27.29 kg/ha,154.4 kg/ha,0.86 ppm,1.07 ppm,34.8 %,23.53 %,42.63 %,Fluvial non calcareous,
Dhanusha,26.7329,85.9261,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mahottari,26.9204,85.8016,5.98 ,1.92 %,0.1 %,48.33 kg/ha,100.0 kg/ha,0.42 ppm,1.14 ppm,51.68 %,10.7 %,36.21 %,Fluvial non calcareous,
Parsa,27.1726,84.8879,5.91 ,1.39 %,0.09 %,30.57 kg/ha,116.16 kg/ha,0.31 ppm,0.85 ppm,45.45 %,12.74 %,40.97 %,Fluvial non calcareous,
Rautahat,26.9632,85.3218,7.76 ,1.51 %,0.08 %,38.58 kg/ha,104.03 kg/ha,0.29 ppm,0.15 ppm,29.49 %,35.11 %,30.46 %,Fluvial non calcareous,
Saptari,26.5861,86.7454,5.89 ,1.3 %,0.07 %,32.47 kg/ha,182.57 kg/ha,1.15 ppm,0.77 ppm,44.08 %,17.38 %,39.04 %,Fluvial non calcareous,
Sarlahi,26.9682,85.5601,7.04 ,2.02 %,0.11 %,44.34 kg/ha,155.1 kg/ha,0.58 ppm,0.98 ppm,42.9 %,18.24 %,38.8 %,Fluvial non calcareous,
Siraha,26.6548,86.2081,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
